[vite] connecting...
client:618 [vite] connected.
Game.js:70 [TRACE] enabled (?trace=true)
main.js:479 Audio play failed: NotAllowedError: play() failed because the user didn't interact with the document first.
main.js:524 BGM play failed: NotSupportedError: The element has no supported sources.
Game.js:77 [TRACE #1] wave.complete.check.passed {frame: 1, ts: 1308, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #39] wave.complete.check.passed {frame: 39, ts: 1940, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #40] wave.complete.check.passed {frame: 40, ts: 1957, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #41] wave.complete.check.passed {frame: 41, ts: 1974, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #42] wave.complete.check.passed {frame: 42, ts: 1990, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #43] wave.complete.check.passed {frame: 43, ts: 2007, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #44] wave.complete.check.passed {frame: 44, ts: 2023, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #45] wave.complete.check.passed {frame: 45, ts: 2039, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #46] wave.complete.check.passed {frame: 46, ts: 2057, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #47] wave.complete.check.passed {frame: 47, ts: 2074, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #48] wave.complete.check.passed {frame: 48, ts: 2090, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #49] wave.complete.check.passed {frame: 49, ts: 2107, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #50] wave.complete.check.passed {frame: 50, ts: 2124, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #51] wave.complete.check.passed {frame: 51, ts: 2140, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #52] wave.complete.check.passed {frame: 52, ts: 2157, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #53] wave.complete.check.passed {frame: 53, ts: 2173, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #54] wave.complete.check.passed {frame: 54, ts: 2190, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #55] wave.complete.check.passed {frame: 55, ts: 2206, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #56] wave.complete.check.passed {frame: 56, ts: 2222, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #57] wave.complete.check.passed {frame: 57, ts: 2240, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #58] wave.complete.check.passed {frame: 58, ts: 2257, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #59] wave.complete.check.passed {frame: 59, ts: 2273, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #60] wave.complete.check.passed {frame: 60, ts: 2290, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #61] wave.complete.check.passed {frame: 61, ts: 2307, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #62] wave.complete.triggered {frame: 61, ts: 2307, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #63] wave.complete {frame: 61, ts: 2307, wave: 1, enemiesRemaining: 0, enemiesKilled: 0, …}
main.js:1063 [TRACE floatingText.create] {text: '+10.0 coins', className: 'coins', x: 577, y: 503, stack: Array(4)}
Game.js:77 [TRACE #64] coins.award.waveComplete {frame: 61, ts: 2308, wave: 1, amount: 10, coinsBefore: 0, …}
